id,team_abbr,first_name,last_name,position,archetype,football_iq,speed,carrying,agility,catching,route_running,zone_coverage,man_coverage,strength,tackle,pass_block,run_block,pass_rush,run_defense,throw_power,throw_accuracy,kick_accuracy,kick_power,punt_accuracy,punt_power,is_redshirt,is_redshirting
88585,CINC,Virgil,Harrison,ATH,Wingback,28,33,8,24,22,22,13,14,13,14,11,8,0,4,11,14,3,4,4,5,0,0
89369,CINC,Curtis,Price,ATH,Triple-Threat,28,34,2,23,22,19,1,11,10,5,1,1,4,7,17,16,4,0,0,4,0,0
89444,CINC,Timothy,Hart,ATH,Bandit,7,23,7,20,13,1,19,24,16,14,7,2,6,19,6,9,0,9,8,1,0,0
85099,CLEM,Thomas,Hopkins,ATH,Wingback,22,43,36,25,28,32,17,13,29,10,12,10,2,2,15,17,4,5,0,2,0,0
85879,DAV,William,Lee,ATH,Weakside,24,36,13,43,20,11,30,26,32,24,1,7,23,17,18,14,1,9,8,3,0,0
88494,DAV,Mickey,Fitzpatrick,ATH,Slotback,31,33,8,28,20,32,9,10,43,14,11,34,2,0,12,5,9,4,4,1,0,0
88819,DAV,Omar,Ayala,ATH,Wingback,28,49,8,28,23,20,7,13,17,14,8,19,0,1,6,14,6,4,3,3,0,0
87119,DAY,Douglas,Clift,ATH,Lineman,26,14,7,13,6,4,2,14,37,26,15,30,23,22,1,3,1,1,6,1,0,0
89793,DEL,Jesus,Castaneda,ATH,Field General,31,34,10,21,3,3,10,14,24,18,3,10,7,24,17,20,2,11,5,2,0,0
90666,DEL,Duane,Fidler,ATH,Strongside,23,27,6,23,11,2,20,21,44,20,0,4,10,18,8,3,1,8,9,5,0,0
85415,DRKE,Adam,Barton,ATH,Field General,31,40,10,29,14,0,16,28,35,21,9,2,11,27,26,26,8,8,7,3,0,0
85508,DRKE,Jerry,Margan,ATH,Slotback,21,31,27,23,35,37,17,12,45,11,17,28,8,9,11,19,7,0,7,3,0,0
86589,DRKE,Bernardo,Santiago,ATH,Soccer Player,19,29,10,32,15,9,9,4,24,10,1,9,9,3,12,9,30,36,38,25,0,0
87099,DSU,Craig,Hamilton,ATH,Strongside,24,33,4,27,8,1,13,18,41,16,1,5,21,18,10,4,6,1,1,2,0,0
87107,DSU,John,Anderson,ATH,Strongside,21,35,9,27,12,6,26,24,45,30,5,4,16,31,9,12,4,2,9,8,0,0
87521,DSU,Pierre,Luper,ATH,Triple-Threat,30,45,10,29,17,10,12,12,13,5,6,10,8,5,18,18,5,11,1,5,0,0
87142,DUKE,Walter,Navarra,ATH,Lineman,30,15,8,26,6,9,0,18,42,26,17,25,28,17,5,8,3,9,3,7,0,0
87453,DUQ,Jason,Douglass,ATH,Triple-Threat,31,35,7,27,21,20,7,12,18,9,11,8,2,7,17,22,12,9,2,5,0,0
87770,DUQ,James,West,ATH,Strongside,22,36,12,31,6,5,26,13,48,17,9,1,15,24,8,6,9,8,6,1,0,0
89287,DUQ,Donald,Brackett,ATH,Field General,29,27,8,15,7,3,6,6,20,12,7,0,2,14,18,15,0,4,9,0,0,0
84386,ECU,Clarence,Johnson,ATH,Triple-Threat,21,49,30,29,35,23,20,17,15,18,15,19,13,5,28,29,19,12,9,12,0,0
84620,ECU,Brandon,Peine,ATH,Weakside,30,35,21,49,18,11,41,34,27,25,8,12,26,18,17,20,5,13,13,7,0,0
84782,ECU,Jeremy,Hughes,ATH,Field General,36,46,23,33,20,13,23,33,38,36,7,7,19,32,29,31,12,8,7,8,0,0
85447,EIU,Alvaro,Nunez,ATH,Wingback,22,35,34,30,38,27,13,17,15,10,19,11,4,8,12,16,1,5,1,8,0,0
85534,EIU,Michael,Hoover,ATH,Strongside,27,39,18,33,20,1,28,19,47,38,4,5,21,25,15,10,1,2,0,4,0,0
85916,EIU,Jerry,Wright,ATH,Weakside,20,33,10,44,14,12,29,31,39,21,2,7,16,21,11,11,4,6,3,7,0,0
85601,EKU,Yong,Torrez,ATH,Wingback,20,53,34,32,28,34,23,17,36,14,14,15,10,5,13,11,11,10,6,8,0,0
85918,EKU,Matthew,Vartan,ATH,Return Specialist,20,40,15,26,23,15,27,16,20,15,4,0,8,0,10,8,7,9,9,5,0,0
86114,EKU,Andrzej,Blake,ATH,Slotback,26,40,28,28,34,27,19,21,58,19,28,27,4,9,17,20,3,4,9,9,0,0
87079,ELON,Wesley,Mccracken,ATH,Strongside,21,39,9,27,19,8,27,29,47,16,1,4,10,18,5,14,6,3,4,2,0,0
87260,ELON,Celso,Chamba,ATH,Strongside,23,36,14,26,7,3,34,23,41,19,8,4,17,29,6,12,4,2,4,0,0,0
87307,ELON,Stanley,Totten,ATH,Soccer Player,13,18,9,29,13,5,3,2,23,6,1,4,9,3,5,7,19,28,18,16,0,0
88959,FLA,William,Kiefer,ATH,Return Specialist,13,40,10,27,17,10,26,19,11,15,0,1,8,7,14,14,4,3,2,0,0,0
89178,FLA,Jon,Hill,ATH,Strongside,27,38,9,29,16,0,31,29,40,22,7,7,20,32,7,7,7,1,6,4,0,0
84848,FSU,Charles,Granberry,ATH,Triple-Threat,30,48,32,34,35,29,19,17,23,19,17,17,14,7,33,32,17,21,5,7,0,0
88846,FSU,Richard,Gore,ATH,Wingback,28,38,9,22,26,23,13,10,11,10,10,12,8,8,6,8,7,6,9,9,0,0
86657,GT,Clarence,Wilkerson,ATH,Field General,32,33,8,31,10,2,26,27,29,26,1,1,8,25,25,26,2,6,5,5,0,0
88497,HAMP,Brian,Diefenderfer,ATH,Triple-Threat,30,40,10,22,20,22,10,14,16,7,9,10,2,4,23,20,14,10,6,8,0,0
89381,HAMP,Charles,Hepner,ATH,Triple-Threat,29,31,2,15,16,18,1,13,14,1,7,5,0,8,18,15,6,8,5,1,0,0
85558,HCU,Paul,Quintanilla,ATH,Strongside,21,40,15,32,14,3,25,30,50,38,7,4,23,21,17,15,6,2,0,0,0,0
85770,HCU,Luiz,Ortega,ATH,Slotback,22,33,21,21,27,31,14,13,52,16,14,28,2,6,16,12,6,8,3,2,0,0
86666,HCU,Lawrence,Dixon,ATH,Return Specialist,24,45,14,30,19,16,15,23,21,23,5,4,9,4,10,9,8,4,8,8,0,0
88346,HCU,Robert,Carroll,ATH,Field General,27,34,10,20,12,1,18,18,29,18,7,9,10,19,18,24,8,9,4,2,0,0
89126,HCU,John,Grubbs,ATH,Wingback,29,41,10,27,27,25,12,14,13,6,13,10,3,6,8,8,6,0,8,7,0,0
88507,HOW,Nicholas,Soto,ATH,Slotback,29,36,10,20,28,26,7,9,54,14,11,29,1,1,8,9,9,0,3,9,0,0
88888,ILLI,Robert,Perez,ATH,Triple-Threat,32,37,9,21,19,11,10,10,15,7,14,10,9,5,24,22,5,11,2,8,0,1
89061,ILLI,Mario,Mccarty,ATH,Wingback,31,44,10,25,26,25,14,8,16,10,8,8,2,6,6,13,9,2,0,0,0,1
85370,JMU,Christopher,Logan,ATH,Bandit,23,41,18,30,27,9,44,26,30,24,1,9,16,20,12,17,8,2,7,7,0,0
88961,LAM,Gerard,Hasson,ATH,Field General,31,37,9,20,5,9,18,21,31,15,5,6,10,21,20,20,3,2,7,3,0,0
86090,LIN,Genaro,Evangelista,ATH,Triple-Threat,22,52,33,28,22,28,13,17,19,14,11,13,0,9,23,26,18,13,0,2,0,0
86134,LIN,Scott,Muir,ATH,Return Specialist,24,46,15,26,24,19,24,29,17,23,6,2,10,4,13,10,7,3,9,1,0,0
86253,LIN,Scott,Arkwright,ATH,Field General,31,39,13,35,13,9,18,19,36,31,5,9,12,31,29,28,7,2,6,10,0,0
89399,LIU,Roosevelt,Lawrence,ATH,Lineman,25,22,2,20,3,3,9,12,36,23,25,29,15,13,1,5,9,0,7,1,0,0
85102,LOU,Steven,Freeman,ATH,Weakside,25,31,15,40,27,6,32,36,32,38,6,1,23,16,14,10,3,0,9,6,0,0
86452,LOU,Michael,Klimczak,ATH,Slotback,22,40,23,27,23,34,19,12,51,12,28,37,3,6,15,15,2,2,1,2,0,0
84747,LSU,Eugenio,Soto,ATH,Wingback,26,57,31,37,44,37,16,21,34,17,24,15,13,9,19,15,9,12,5,14,0,0
90924,LSU,Komatmi,Breaux,ATH,Strongside,31,45,14,20,21,8,35,26,43,21,10,7,26,28,12,12,7,7,9,8,0,0
87419,MCN,Nicholas,Allen,ATH,Triple-Threat,28,35,9,25,21,13,12,10,14,5,13,10,2,6,19,18,7,9,7,4,0,0
89989,MCN,Gregory,Devito,ATH,Bandit,8,39,0,34,4,1,30,20,19,25,6,2,14,6,1,8,6,0,1,5,0,0
85007,ME,David,Pizano,ATH,Field General,38,33,19,30,19,3,27,15,34,20,3,5,11,28,28,25,5,0,8,1,0,0
85884,ME,Michael,Williams,ATH,Soccer Player,19,23,15,30,18,6,5,3,21,10,1,1,8,5,6,12,23,28,18,36,0,0
86039,ME,Frederick,Harvey,ATH,Bandit,21,31,17,42,11,13,31,37,25,28,4,2,16,17,11,16,0,1,8,2,0,0
85287,MONM,James,Taylor,ATH,Weakside,26,45,13,33,23,7,23,37,32,27,2,8,17,22,11,19,2,1,9,4,0,0
85612,MONM,David,Reyburn,ATH,Soccer Player,21,31,16,32,21,1,9,5,18,8,0,0,10,0,8,14,39,28,29,29,0,0
85727,MONM,Kenneth,Myers,ATH,Soccer Player,17,24,18,32,19,5,0,7,15,9,6,9,9,0,8,12,28,33,28,29,0,0
85208,MORE,Mitchell,Martin,ATH,Bandit,28,40,14,34,13,7,33,27,29,24,0,9,23,27,15,16,2,1,3,0,0,0
86233,MORE,Eugene,Mckinney,ATH,Triple-Threat,19,42,34,32,24,27,13,18,22,16,17,13,6,2,32,30,8,7,5,2,0,0
86322,MORE,James,Wells,ATH,Field General,32,34,14,27,17,9,22,15,26,22,4,5,14,23,24,26,3,7,7,3,0,0
87619,MORG,Gustavo,Quiroz,ATH,Soccer Player,12,24,8,27,13,6,4,1,19,8,1,8,8,7,8,13,15,17,26,16,0,0
88836,MORG,Osvaldo,Chavez,ATH,Weakside,28,43,8,32,19,10,29,31,31,24,9,2,10,19,9,5,1,2,4,6,0,0
89168,MORG,Rudolph,Pera,ATH,Slotback,28,39,9,28,32,28,9,7,44,14,6,23,6,7,13,14,6,3,5,1,0,0
89365,MOST,Mohammad,Brown,ATH,Wingback,34,31,7,28,24,25,10,20,14,13,14,6,14,9,8,9,6,10,7,12,0,0
89408,MOST,Arthur,Sanchez,ATH,Strongside,18,26,1,28,12,0,20,7,35,22,1,9,16,22,6,2,0,0,4,8,0,0
90152,MOST,Thomas,Fluckiger,ATH,Slotback,20,21,3,14,10,27,0,11,40,0,3,28,8,0,9,4,8,0,2,8,0,0
90480,MOST,Michael,Nosal,ATH,Wingback,20,33,1,20,29,22,2,8,19,8,8,4,3,2,8,2,6,2,8,8,0,0
90537,MOST,Richard,Rogers,ATH,Slotback,24,27,4,21,11,22,5,10,44,7,6,18,2,9,5,2,5,0,3,5,0,0
90555,MOST,Manuel,Rodriquez,ATH,Triple-Threat,21,43,7,16,16,10,1,6,8,5,0,6,1,6,15,15,5,9,9,0,0,0
90635,MOST,Barry,Eley,ATH,Weakside,22,24,5,20,8,9,31,25,20,15,4,7,7,14,7,8,8,3,1,0,0,0
90737,MOST,Arturo,Quijano,ATH,Soccer Player,9,11,6,23,7,6,2,6,6,0,6,8,3,5,0,2,25,21,16,20,0,0
86990,MRCY,Kenneth,Kelsey,ATH,Field General,29,28,10,26,5,4,23,23,27,28,0,7,9,15,21,17,9,7,2,5,0,0
87274,MRCY,Brad,Englebert,ATH,Wingback,27,41,8,26,21,26,9,14,10,12,6,14,8,5,14,5,9,9,2,9,0,0
88970,MRCY,Charles,Essick,ATH,Wingback,29,35,10,24,32,24,11,13,13,9,7,14,7,0,10,14,4,2,1,7,0,0
86183,MRMK,Brian,Durham,ATH,Wingback,22,48,27,32,28,27,18,18,23,12,12,16,4,9,18,13,2,1,7,9,0,0
88828,MRMK,Roger,Nieri,ATH,Wingback,29,30,8,28,28,25,14,10,14,12,13,18,2,9,14,8,7,0,3,0,0,0
89293,MRMK,Thomas,Chartier,ATH,Triple-Threat,25,43,2,20,11,12,4,10,10,1,7,6,2,1,18,19,1,4,7,0,0,0
86543,MRST,William,Shigley,ATH,Triple-Threat,17,52,31,30,27,23,14,16,24,12,10,16,4,8,22,26,12,11,6,8,0,0
89530,MRST,Robert,Almeida,ATH,Strongside,20,28,8,19,7,3,11,5,41,25,0,5,8,11,0,8,4,8,1,0,0,0
89585,MRST,Dale,Wright,ATH,Field General,26,31,2,18,4,7,7,11,22,14,2,5,0,17,16,19,7,2,5,8,0,0
89647,MRST,David,Sinohui,ATH,Wingback,28,36,7,15,15,16,6,11,16,1,7,3,7,5,7,7,2,6,1,3,0,0
89718,MRST,Christopher,Savala,ATH,Wingback,21,29,2,18,22,21,8,9,24,6,4,7,5,3,7,6,2,7,9,0,0,0
84419,NAVY,Timothy,Geyer,ATH,Wingback,23,47,33,30,39,35,28,23,28,21,15,26,13,10,17,19,6,7,11,10,0,0
86457,NAVY,Jose,Escobedo,ATH,Lineman,21,25,11,29,7,4,10,21,51,41,22,37,20,25,11,13,6,7,2,9,0,0
86503,NAVY,Arthur,French,ATH,Strongside,28,43,16,27,21,6,28,15,45,22,8,9,15,32,11,13,5,9,2,8,0,0
85705,NCAT,Ismael,Ramirez,ATH,Return Specialist,22,42,12,32,20,18,13,25,18,12,5,4,10,5,12,11,5,8,0,6,0,0
86089,NCAT,George,Weiher,ATH,Field General,34,34,10,30,10,9,15,14,39,22,6,3,10,32,28,30,8,1,5,2,0,0
86496,NCAT,Hector,Coleman,ATH,Bandit,22,39,11,36,15,13,41,38,37,23,0,6,22,25,18,14,5,8,6,6,0,0
88644,NCAT,Bao,Amin,ATH,Wingback,30,36,7,26,21,19,13,6,18,6,9,17,4,7,4,4,1,3,7,6,0,0
87811,NCCU,Bruce,Gill,ATH,Field General,30,39,11,22,7,8,10,10,27,18,6,11,11,18,22,24,11,5,11,10,0,0
88007,NCCU,Michael,Cox,ATH,Lineman,29,25,10,28,4,6,8,20,40,31,17,34,21,15,7,5,9,6,5,7,0,0
88173,NCCU,Jerry,Coughlin,ATH,Strongside,19,33,10,26,12,4,14,28,46,28,1,1,14,15,8,10,1,1,3,1,0,0
88657,NCCU,John,Best,ATH,Bandit,13,37,10,27,10,10,34,36,25,17,3,9,11,18,5,8,2,6,4,4,0,0
84395,ND,Jason,Hagedorn,ATH,Lineman,29,25,22,38,14,13,14,31,46,32,39,43,36,25,15,20,8,5,13,11,0,0
84653,ND,Jonathan,Jackson,ATH,Triple-Threat,31,47,28,38,34,33,22,23,17,22,18,16,9,7,38,40,22,20,10,10,0,1
84777,ND,Pablo,Leon,ATH,Bandit,26,41,23,37,15,14,42,44,35,42,8,11,25,22,21,16,5,10,13,9,0,1
87810,ND,Darwin,Trani,ATH,Slotback,29,38,9,25,29,22,11,9,54,10,7,22,5,0,8,13,7,7,8,7,0,0
88064,ND,David,Archibald,ATH,Lineman,32,20,9,29,1,1,9,17,44,16,17,20,15,26,12,6,4,3,0,1,0,0
88948,ND,Glenn,Evans,ATH,Bandit,15,39,7,35,12,8,30,32,32,22,1,7,15,17,12,4,6,1,2,1,0,0
85165,NEB,Michael,Wilson,ATH,Strongside,20,43,15,39,22,8,25,21,47,35,2,7,24,35,14,19,5,1,3,0,0,1
87557,NICH,Daniel,Bennett,ATH,Wingback,28,37,9,20,27,27,9,14,24,8,8,14,6,2,12,7,4,6,4,4,0,0
88371,NICH,Henry,Astle,ATH,Triple-Threat,27,49,10,25,23,15,13,11,18,12,14,8,9,9,17,19,14,8,9,2,0,0
84680,NIU,Steven,Kotar,ATH,Return Specialist,26,55,18,36,24,23,22,20,21,17,9,8,12,14,17,20,9,7,6,11,0,1
86777,NIU,Carlos,Justiz,ATH,Bandit,22,33,12,41,22,14,30,29,34,22,4,5,15,24,14,19,0,4,3,1,0,1
88596,NIU,Luis,Torres,ATH,Soccer Player,15,18,8,27,8,4,2,7,18,5,5,7,8,1,6,9,18,21,26,28,0,0
85116,NORF,Bobby,Brown,ATH,Weakside,31,46,18,46,28,13,27,22,41,34,2,9,23,18,16,18,6,5,2,9,0,0
85288,NORF,Travis,Collier,ATH,Slotback,24,39,29,30,23,31,13,17,54,15,14,25,4,2,15,17,0,8,2,9,0,0
88212,NWST,William,Bradley,ATH,Slotback,30,33,8,27,19,30,13,11,41,14,11,27,3,2,5,6,8,7,8,1,0,0
89179,NWST,Javier,Torres,ATH,Slotback,28,30,9,28,26,31,13,8,50,8,7,21,3,5,5,13,8,0,4,4,0,0
84500,OHIO,Keith,Payne,ATH,Slotback,25,40,26,36,40,41,21,16,48,16,34,42,5,5,17,21,12,14,5,8,0,0
84596,OHIO,Philip,Roberge,ATH,Field General,39,45,21,37,21,7,15,29,26,25,10,13,19,25,31,33,5,14,13,9,0,0
84638,OKLA,Ricardo,Sanchez,ATH,Return Specialist,27,55,16,36,20,24,33,18,28,16,10,5,11,10,12,14,12,8,8,6,0,0
87409,OREG,Lawrence,Mitchell,ATH,Bandit,12,27,10,27,23,8,37,20,30,25,4,6,19,20,9,7,1,8,8,2,0,0
88885,OREG,Edward,Castro,ATH,Lineman,31,19,8,17,1,9,7,24,47,30,26,33,22,27,9,10,0,6,0,6,0,0
89203,OREG,Brian,Robertson,ATH,Slotback,21,32,4,12,11,26,9,11,39,6,0,25,0,3,2,0,2,4,9,2,0,0
84996,PITT,Brian,Boulette,ATH,Lineman,22,26,18,22,5,0,7,27,52,30,29,21,27,24,12,15,0,6,2,0,0,1
85053,PITT,Jacob,Golden,ATH,Lineman,28,27,19,34,4,4,7,20,50,41,28,29,24,22,15,10,0,1,0,0,0,0
88428,PITT,Ryan,Rasnake,ATH,Strongside,18,35,5,34,16,8,19,22,45,28,2,4,13,26,6,5,8,4,6,6,0,1
84428,PNST,Fang,Sherpa,ATH,Slotback,24,42,25,36,42,27,22,20,47,20,31,32,12,13,20,22,9,10,8,10,0,0
84689,PNST,Carlos,Berglund,ATH,Field General,39,39,24,28,22,13,22,27,38,39,14,5,19,30,33,30,8,6,7,11,0,0
87356,PRE,Mark,Thompson,ATH,Slotback,32,36,9,20,22,20,13,12,48,8,13,23,9,1,11,8,4,0,3,6,0,0
87651,PRE,Derek,Kavanagh,ATH,Lineman,31,27,9,20,8,4,1,23,41,32,29,23,24,27,12,12,2,7,3,1,0,0
87833,PRE,Juan,Ramirezcastro,ATH,Strongside,19,38,8,20,5,1,16,18,48,31,6,9,11,21,10,6,8,3,7,0,0,0
88919,RGV,Gary,Lewis,ATH,Bandit,12,29,8,31,22,9,25,35,27,21,2,3,12,15,14,13,8,5,6,9,0,0
86859,RICH,Don,Cliver,ATH,Triple-Threat,31,44,11,31,28,16,15,12,17,15,7,10,2,3,21,22,7,7,10,7,0,0
86910,RICH,Christopher,Sanchez,ATH,Lineman,31,23,10,27,3,9,3,15,49,25,34,28,28,16,6,7,6,1,2,8,0,0
87234,RICH,Gilberto,Chavez,ATH,Slotback,28,35,8,28,23,31,13,13,51,7,11,27,8,2,8,11,7,4,4,4,0,0
87259,RICH,Mario,Garduno,ATH,Soccer Player,12,23,9,29,8,6,0,0,23,6,1,4,9,6,12,5,23,16,22,18,0,0
86326,RMU,Patrick,Mobley,ATH,Soccer Player,20,26,17,33,13,2,4,5,24,11,1,8,9,5,13,9,38,24,34,26,0,0
86552,RMU,John,Klann,ATH,Field General,34,35,10,26,13,1,19,26,35,32,3,1,11,30,23,25,2,5,1,7,0,0
85076,SCST,Ted,Cochran,ATH,Wingback,21,53,32,25,34,28,15,12,24,12,13,10,2,7,11,15,3,7,9,7,0,0
85423,SCST,George,William,ATH,Return Specialist,20,52,12,25,20,17,28,14,15,18,2,0,9,8,10,12,7,2,8,0,0,0
85481,SCST,Matthew,Bean,ATH,Triple-Threat,20,51,27,26,32,19,13,18,24,15,19,13,7,3,27,32,11,12,7,5,0,0
86848,SEMO,Boris,Peterson,ATH,Field General,28,36,9,26,7,4,18,9,23,24,0,8,10,25,21,20,5,4,6,4,0,0
86878,SEMO,Herman,Vargas,ATH,Return Specialist,12,41,10,27,14,10,29,15,19,18,5,0,8,4,13,13,6,7,9,0,0,0
87407,SEMO,Jerry,Graham,ATH,Field General,27,29,10,22,13,5,24,23,23,26,0,4,8,28,21,17,7,1,4,2,0,0
87920,SFA,Jason,Mein,ATH,Strongside,26,33,10,33,7,1,34,14,42,17,3,6,14,29,13,13,0,1,8,0,0,0
88921,SFA,Margarito,Gavia,ATH,Return Specialist,16,38,10,20,12,12,32,12,13,9,9,8,9,8,10,8,5,0,7,4,0,0
88960,SFA,William,Hanrahan,ATH,Triple-Threat,32,39,9,26,16,17,11,13,19,10,13,9,6,4,18,22,8,9,6,6,0,0
88065,SFPA,Esteban,Caldera,ATH,Lineman,32,17,9,25,7,3,5,24,49,29,15,25,27,27,11,12,8,0,5,7,0,0
88095,SFPA,Manuel,Olivas,ATH,Strongside,28,31,10,22,24,2,25,10,49,23,8,0,16,25,12,12,6,2,6,0,0,0
88277,SFPA,Mark,Fried,ATH,Soccer Player,13,18,8,30,11,2,4,1,23,7,0,3,8,9,13,11,29,21,31,19,0,0
86873,SHU,Josh,Musheyev,ATH,Lineman,29,29,10,18,8,3,9,16,45,30,20,20,16,29,6,5,0,2,2,0,0,0
87028,SHU,David,Herron,ATH,Bandit,15,37,13,31,21,11,45,27,26,36,6,8,17,13,10,13,11,5,6,5,0,0
87105,SHU,John,Sanders,ATH,Triple-Threat,38,47,15,31,23,26,13,15,26,11,19,17,12,9,29,27,18,12,11,15,0,0
86399,SJSU,Bruce,Balmer,ATH,Triple-Threat,26,46,28,34,33,29,19,15,15,17,12,11,6,1,23,24,13,19,2,8,0,0
84463,STAN,Armando,Barrios,ATH,Bandit,29,37,16,49,29,7,41,48,31,26,9,10,26,20,17,21,9,6,10,8,0,0
84639,STAN,Douglas,Williams,ATH,Field General,37,38,17,36,22,11,24,32,25,27,11,8,14,27,33,29,12,12,7,11,0,0
84866,STAN,Darrell,Wilcox,ATH,Lineman,25,23,23,37,12,8,11,30,47,45,39,43,33,30,22,24,6,11,8,14,0,0
84894,STAN,Aaron,Frost,ATH,Return Specialist,22,53,19,31,28,21,19,15,20,28,9,6,11,8,12,21,14,6,10,14,0,0
86690,STAN,Charles,Shamir,ATH,Triple-Threat,23,46,28,27,31,15,19,12,22,16,17,11,8,7,25,26,13,17,6,7,0,0
86783,STAN,Gilbert,Lee,ATH,Strongside,27,38,10,34,27,0,32,34,54,25,5,7,18,24,18,18,8,3,5,3,0,0
86796,STAN,Jorge,Alviso,ATH,Soccer Player,18,27,13,36,21,5,5,2,16,11,2,0,10,0,14,12,38,27,24,27,0,0
87720,STBK,Ryan,White,ATH,Wingback,29,32,9,24,29,23,12,12,12,11,9,16,9,8,14,12,9,1,5,9,0,0
88809,STBK,Jose,Ramirez,ATH,Weakside,27,30,8,30,17,10,37,32,32,15,7,2,19,11,11,14,9,5,0,6,0,0
89213,STBK,Thomas,Milholland,ATH,Wingback,26,40,3,23,27,18,2,13,13,6,4,9,9,5,4,7,9,2,7,4,0,0
87802,STET,Dale,Carmon,ATH,Slotback,27,26,9,28,16,27,7,12,52,8,9,26,7,6,10,6,5,9,7,9,0,0
87906,STET,Benjamin,Trevino,ATH,Wingback,28,34,9,20,21,21,7,9,13,11,14,13,1,5,8,13,3,3,8,3,0,0
